, State, County, Local_Co_Name
0,ALASKA,Anchorage,GCI Cable Inc
1,ALASKA,Anchorage,GCI Cable Inc
2,ALASKA,Anchorage,GCI Cable Inc
3,ALASKA,Fairbanks North Star,GCI Cable Inc
4,ALASKA,Fairbanks North Star,GCI Cable Inc
5,ALASKA,Fairbanks North Star,GCI Cable Inc
6,ALASKA,Matanuska-Susitna,GCI Cable Inc
7,ALASKA,Matanuska-Susitna,GCI Cable Inc
8,ALASKA,Matanuska-Susitna,GCI Cable Inc
9,ALASKA,Petersburg,GCI Cable Inc
10,ALASKA,Petersburg,GCI Cable Inc
11,ALASKA,Petersburg,GCI Cable Inc
12,ALASKA,Haines,Skagway Cable TV
13,ALASKA,Yukon-Koyukuk,Supervision Inc
14,ALABAMA,Jefferson,Bright House Networks
15,ALABAMA,Jefferson,Bright House Networks
16,ALABAMA,Jefferson,Bright House Networks
17,ALABAMA,Jefferson,Bright House Networks
18,ALABAMA,Jefferson,Bright House Networks
19,ALABAMA,Mobile,Comcast Cable
20,ALABAMA,Mobile,Comcast Cable
21,ALABAMA,Mobile,Comcast Cable
22,ALABAMA,Montgomery,Charter Communications
23,ALABAMA,Montgomery,Charter Communications
24,ALABAMA,Calhoun,Cable One
25,ALABAMA,Calhoun,Cable One
26,ALABAMA,Calhoun,Cable One
27,ALABAMA,Russell,Phenix Cable TV
28,ALABAMA,Russell,Phenix Cable TV
29,ALABAMA,Elmore,Bright House Networks
30,ALABAMA,Elmore,Bright House Networks
31,ALABAMA,Elmore,Bright House Networks
32,ALABAMA,Elmore,Bright House Networks
33,ALABAMA,Mobile,Mediacom
34,ALABAMA,Mobile,Mediacom
35,ALABAMA,Randolph,Charter Communications
36,ALABAMA,Randolph,Charter Communications
37,ALABAMA,Walker,Charter Communications
38,ALABAMA,Walker,Charter Communications
39,ALABAMA,Walker,Charter Communications
40,ALABAMA,Barbour,Bright House Networks
41,ALABAMA,Barbour,Bright House Networks
42,ALABAMA,Barbour,Bright House Networks
43,ALABAMA,DeKalb,Charter Communications
44,ALABAMA,Covington,TV Cable Company of Andalusia
45,ALABAMA,Blount,Otelco
46,ALABAMA,Blount,Otelco
47,ALABAMA,Blount,Otelco
48,ALABAMA,Covington,Opp Cablevision
49,ALABAMA,Covington,Opp Cablevision
50,ALABAMA,Butler,Bright House Networks
51,ALABAMA,Butler,Bright House Networks
52,ALABAMA,Butler,Bright House Networks
53,ALABAMA,Butler,Bright House Networks
54,ALABAMA,Sumter,Mediacom
55,ALABAMA,Sumter,Mediacom
56,ALABAMA,Marengo,Demopolis CATV Co
57,ALABAMA,Marion,West Alabama TV Cable Co. Inc
58,ALABAMA,Marion,West Alabama TV Cable Co. Inc
59,ALABAMA,Marion,West Alabama TV Cable Co. Inc
60,ALABAMA,Marion,West Alabama TV Cable Co. Inc
61,ALABAMA,Lamar,Charter Communications
62,ALABAMA,Lamar,Charter Communications
63,ALABAMA,Hale,Mediacom
64,ALABAMA,Hale,Mediacom
65,ALABAMA,Monroe,Mediacom
66,ALABAMA,Monroe,Mediacom
67,ALABAMA,Clarke,Pine Belt Broadband
68,ALABAMA,Clarke,Pine Belt Broadband
69,ALABAMA,Randolph,Charter Communications
70,ALABAMA,Randolph,Charter Communications
71,ALABAMA,Choctaw,Pine Belt Broadband
72,ALABAMA,Choctaw,Pine Belt Broadband
73,ALABAMA,Tallapoosa,Charter Communications
74,ALABAMA,Tallapoosa,Charter Communications
75,ALABAMA,St. Clair,USA Communications
76,ALABAMA,St. Clair,USA Communications
77,ALABAMA,St. Clair,USA Communications
78,ALABAMA,Chambers,"WOW! Internet, Cable & Phone"
79,ALABAMA,Chambers,"WOW! Internet, Cable & Phone"
80,ALABAMA,Chambers,"WOW! Internet, Cable & Phone"
81,ALABAMA,Jackson,Scottsboro Electric Power Board
82,ALABAMA,Jackson,Scottsboro Electric Power Board
83,ALABAMA,Jackson,Scottsboro Electric Power Board
84,ARKANSAS,Garland,Resort TV Cable Co. Inc
85,ARKANSAS,Garland,Resort TV Cable Co. Inc
86,ARKANSAS,Garland,Resort TV Cable Co. Inc
87,ARKANSAS,Jefferson,Pine Bluff Cable TV Co. Inc
88,ARKANSAS,Jefferson,Pine Bluff Cable TV Co. Inc
89,ARKANSAS,Jefferson,Pine Bluff Cable TV Co. Inc
90,ARKANSAS,Craighead,Suddenlink Communications
91,ARKANSAS,Craighead,Suddenlink Communications
92,ARKANSAS,Craighead,Suddenlink Communications
93,ARKANSAS,Baxter,Suddenlink Communications
94,ARKANSAS,Baxter,Suddenlink Communications
95,ARKANSAS,Baxter,Suddenlink Communications
96,ARKANSAS,Pope,Suddenlink Communications
97,ARKANSAS,Pope,Suddenlink Communications
98,ARKANSAS,Pope,Suddenlink Communications
99,ARKANSAS,Greene,Paragould City Light & Water Commission
100,ARKANSAS,Greene,Paragould City Light & Water Commission
101,ARKANSAS,Greene,Paragould City Light & Water Commission
102,ARKANSAS,Greene,Paragould City Light & Water Commission
103,ARKANSAS,White,White County Cable TV
104,ARKANSAS,White,White County Cable TV
105,ARKANSAS,Arkansas,Suddenlink Communications
106,ARKANSAS,Arkansas,Suddenlink Communications
107,ARKANSAS,Arkansas,Suddenlink Communications
108,ARKANSAS,Hempstead,Hope Community TV
109,ARKANSAS,Hempstead,Hope Community TV
110,ARKANSAS,Hempstead,Hope Community TV
111,ARKANSAS,Little River,NewWave Communications
112,ARKANSAS,Little River,NewWave Communications
113,ARKANSAS,Little River,NewWave Communications
114,ARKANSAS,Johnson,Suddenlink Communications
115,ARKANSAS,Johnson,Suddenlink Communications
116,ARKANSAS,Johnson,Suddenlink Communications
117,ARKANSAS,Logan,Suddenlink Communications
118,ARKANSAS,Logan,Suddenlink Communications
119,ARKANSAS,Logan,Suddenlink Communications
120,ARKANSAS,Poinsett,Ritter Communications
121,ARKANSAS,Poinsett,Ritter Communications
122,ARKANSAS,Poinsett,Ritter Communications
123,ARKANSAS,Faulkner,Alliance Communications
124,ARKANSAS,Faulkner,Alliance Communications
125,ARKANSAS,Clark,Suddenlink Communications
126,ARKANSAS,Clark,Suddenlink Communications
127,ARKANSAS,Clark,Suddenlink Communications
128,ARKANSAS,Clark,Suddenlink Communications
129,ARKANSAS,Clark,Suddenlink Communications
130,ARKANSAS,Washington,Cox Communications
131,ARKANSAS,Washington,Cox Communications
132,ARKANSAS,Independence,Indco Cable TV
133,ARKANSAS,Union,Suddenlink Communications
134,ARKANSAS,Union,Suddenlink Communications
135,ARKANSAS,Union,Suddenlink Communications
136,ARKANSAS,Garland,Suddenlink Communications
137,ARKANSAS,Garland,Suddenlink Communications
138,ARIZONA,Maricopa,Cox Communications
139,ARIZONA,Maricopa,Cox Communications
140,ARIZONA,Maricopa,Cox Communications
141,ARIZONA,Maricopa,Cox Communications
142,ARIZONA,Yuma,Time Warner Cable
143,ARIZONA,Yuma,Time Warner Cable
144,ARIZONA,Yuma,Time Warner Cable
145,ARIZONA,Yuma,Time Warner Cable
146,ARIZONA,Cochise,Cox Communications
147,ARIZONA,Cochise,Cox Communications
148,ARIZONA,Cochise,Cox Communications
149,ARIZONA,Yavapai,Cable One
150,ARIZONA,Yavapai,Cable One
151,ARIZONA,Pinal,Mediacom
152,ARIZONA,Pinal,Mediacom
153,ARIZONA,Mohave,Suddenlink Communications
154,ARIZONA,Mohave,Suddenlink Communications
155,ARIZONA,Mohave,Suddenlink Communications
156,ARIZONA,Mohave,Suddenlink Communications
157,ARIZONA,Coconino,Suddenlink Communications
158,ARIZONA,Coconino,Suddenlink Communications
159,ARIZONA,Navajo,Cable One
160,ARIZONA,Navajo,Cable One
161,ARIZONA,Navajo,Cable One
162,ARIZONA,Mohave,Suddenlink Communications
163,ARIZONA,Mohave,Suddenlink Communications
164,ARIZONA,La Paz,Suddenlink Communications
165,ARIZONA,La Paz,Suddenlink Communications
166,ARIZONA,Gila,Cable One
167,ARIZONA,Gila,Cable One
168,ARIZONA,Graham,Cable One
169,ARIZONA,Graham,Cable One
170,ARIZONA,Gila,Suddenlink Communications
171,ARIZONA,Gila,Suddenlink Communications
172,ARIZONA,Coconino,Suddenlink Communications
173,ARIZONA,Coconino,Suddenlink Communications
174,ARIZONA,Cochise,Cable One
175,ARIZONA,Cochise,Cable One
176,ARIZONA,Coconino,Cable One
177,ARIZONA,Coconino,Cable One
178,ARIZONA,Maricopa,Orbitel Communications
179,ARIZONA,Maricopa,Orbitel Communications
180,ARIZONA,Maricopa,Orbitel Communications
181,ARIZONA,Pima,Orbitel Communications
182,ARIZONA,Pima,Orbitel Communications
183,ARIZONA,Pima,Orbitel Communications
184,ARIZONA,Pinal,Orbitel Communications
185,ARIZONA,Pinal,Orbitel Communications
186,ARIZONA,Pinal,Orbitel Communications
187,CALIFORNIA,San Diego,Cox Communications
188,CALIFORNIA,San Diego,Cox Communications
